id/url,text,user.id_str,shared_url,retweet_count,favorite_count,total
1383082914460672001,"Amber Heard: #ReleaseTheBodycamCut

Johnny Depp whilst he releases the bodycam footage:

#JusticeForJohnnyDepp 

https://t.co/ez6p8Rx1zS",47953309.0,https://twitter.com/johnnycdebt/status/1383073963157377030/video/1,495,4729,5224
1385263715919044610,"Amber Heard blackmailed Johnny Depp. She filed for divorce, demanded he pay for a Range Rover, mortgages for 3 penthouses &amp; $50k per month for the rest of her life. He didn’t agree, so she falsely accused him of domestic abuse. #JusticeForJohnnyDepp #HappyBirthdayAmberHeard https://t.co/VhYYjjGScg",1924288669.0,https://twitter.com/depplyhaIIows/status/1385263715919044610/photo/1,860,4209,5069
1366031552489132034,"Amber Heard being fired from Aquaman 2 is the kind of gender equality we need. 

She abused multiple people, lied under oath, pretended to donate millions to sick &amp; dying children only to keep the money for her adventurous travels, list goes on.
#JusticeForJohnnyDepp https://t.co/CNWOxjyiYV",1.2610559236630938e+18,https://twitter.com/LillyJane916/status/1366031552489132034/photo/1,791,4269,5060
1365415073649426440,I heard Amber Heard was finally fired from Aquaman 2 and all I wanna say is...bless✨💃 https://t.co/EPnh4v8QJX,8.846123311452447e+17,https://twitter.com/DoraDelVillar/status/1365415073649426440/photo/1,674,4347,5021
1347259483484000257,The letter in late June 2019 from the CHLA to Amber Heard stating they have received no more from her pledge of 3.5 million since Johnny Depp paid the initial 100k in 2016 before Amber threw her fit demanding she receive the money. Wow! #AmberHeardIsALiar #JusticeForJohnnyDepp https://t.co/v7iRdCooSe,1447911097.0,https://twitter.com/ThatBrianFella/status/1347259483484000257/photo/1,933,3811,4744
1351645881187987457,"Johnny Depp is trending so here's some cold hard facts. Amber Heard claimed she was assaulted to within an inch of her life, including broken bones and other horrible injuries. Less than 24 hours later she went to tape a flawless appearance on James Corden https://t.co/0HyrWN7dXz https://t.co/bwbM6Kogx7",1.1037377287750124e+18,connection error,1240,3311,4551
1351645881187987457,"Johnny Depp is trending so here's some cold hard facts. Amber Heard claimed she was assaulted to within an inch of her life, including broken bones and other horrible injuries. Less than 24 hours later she went to tape a flawless appearance on James Corden https://t.co/0HyrWN7dXz https://t.co/bwbM6Kogx7",1.1037377287750124e+18,connection error,1240,3311,4551
1351645881187987457,"Johnny Depp is trending so here's some cold hard facts. Amber Heard claimed she was assaulted to within an inch of her life, including broken bones and other horrible injuries. Less than 24 hours later she went to tape a flawless appearance on James Corden https://t.co/0HyrWN7dXz https://t.co/bwbM6Kogx7",1.1037377287750124e+18,connection error,1240,3311,4551
1351645881187987457,"Johnny Depp is trending so here's some cold hard facts. Amber Heard claimed she was assaulted to within an inch of her life, including broken bones and other horrible injuries. Less than 24 hours later she went to tape a flawless appearance on James Corden https://t.co/0HyrWN7dXz https://t.co/bwbM6Kogx7",1.1037377287750124e+18,connection error,1240,3311,4551
1384937607512133634,what’s the opposite of ‘horse whisperer’? 🐴🐴🐴 https://t.co/9uw8zVIxDv,8.070035676052275e+17,https://twitter.com/realamberheard/status/1384937607512133634/photo/1,274,4101,4375
