id/url,text,user.id_str,shared_url,retweet_count,favorite_count,total
1.3392782514080727e+18,"For $33,000, You Can Now Hire Amber Heard, Who Admitted On Tape To Abusing Johnny Depp, To Talk About Domestic Violence https://t.co/NrIbn4KVNK https://t.co/1bsUBpfI18",4081106480,https://www.dailywire.com/news/for-33000-you-can-now-hire-amber-heard-who-admitted-on-tape-to-abusing-johnny-depp-to-talk-about-domestic-violence?%3Futm_source=twitter&utm_medium=social&utm_campaign=dwtwitter,923,3967,4890
1.3392782514080727e+18,"For $33,000, You Can Now Hire Amber Heard, Who Admitted On Tape To Abusing Johnny Depp, To Talk About Domestic Violence https://t.co/NrIbn4KVNK https://t.co/1bsUBpfI18",4081106480,https://twitter.com/realDailyWire/status/1339278251408072704/photo/1,923,3967,4890
1.3366392629897052e+18,Johnny Depp has applied directly to Britain's court of appeal in an effort to overturn the recent ruling in a defamation trial related to the actor's troubled relationship with ex-wife Amber Heard. Details: https://t.co/sySAf1bTvW https://t.co/OX5CLMxhjU,17446621,https://thr.cm/IcQoRK3,178,2552,2730
1.3366392629897052e+18,Johnny Depp has applied directly to Britain's court of appeal in an effort to overturn the recent ruling in a defamation trial related to the actor's troubled relationship with ex-wife Amber Heard. Details: https://t.co/sySAf1bTvW https://t.co/OX5CLMxhjU,17446621,https://twitter.com/THR/status/1336639262989705216/photo/1,178,2552,2730
1.3400501609115894e+18,"Update:  Johnny Depp vs Amber Heard (Fairfax)
Depp team has issued a document subpoena to IO Tillet Wright
https://t.co/w1LdJOyYm7 https://t.co/Sgxopdfbty",3309371255,https://www.fairfaxcounty.gov/circuit/sites/circuit/files/assets/documents/pdf/high-profile/depp%20v%20heard/cl-2019-2911-foreign-subp-prep-io-tillet-wright-12-18-2020.pdf,106,756,862
1.3400501609115894e+18,"Update:  Johnny Depp vs Amber Heard (Fairfax)
Depp team has issued a document subpoena to IO Tillet Wright
https://t.co/w1LdJOyYm7 https://t.co/Sgxopdfbty",3309371255,https://twitter.com/LauraBockov/status/1340050160911589376/photo/1,106,756,862
1.333821802943017e+18,Petition To Remove Amber Heard From #Aquaman2 Tops 1.5 Million Signatures https://t.co/rYs3U6UuPo https://t.co/1fQQXnchr7,14892220,https://screenrant.com/aquaman-2-amber-heard-fired-petition-signatures-update/?utm_content=buffer34655&utm_medium=Social-Distribution&utm_source=SR-TW&utm_campaign=SR-TW,47,413,460
1.333821802943017e+18,Petition To Remove Amber Heard From #Aquaman2 Tops 1.5 Million Signatures https://t.co/rYs3U6UuPo https://t.co/1fQQXnchr7,14892220,https://twitter.com/screenrant/status/1333821802943016960/photo/1,47,413,460
1.3353466153815818e+18,"The petition just crossed the line of 1.7 millions. We keep winning, guys 😌🔥 https://t.co/MvEmON3Zdv #AmberHeardIsAnAbuser https://t.co/mUU1XjnAzK",1288818274189430784,https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2?recruiter=982256104&utm_source=share_petition&utm_medium=twitter&utm_campaign=share_petition&utm_term=psf_combo_share_initial&recruited_by_id=2a07ba10-a1db-11e9-acff-ad2b2cb99ed5&pt=AVBldGl0aW9uAMCB3AAAAAAAXkRJ0rp%2BBeFhOWMzYWIxNg%3D%3D&lang=en-US,41,414,455
1.3353466153815818e+18,"The petition just crossed the line of 1.7 millions. We keep winning, guys 😌🔥 https://t.co/MvEmON3Zdv #AmberHeardIsAnAbuser https://t.co/mUU1XjnAzK",1288818274189430784,https://twitter.com/silence_exile/status/1335346615381581824/photo/1,41,414,455
