source,target,frequency
{'Nor33 '},{' Justice for Johnny Depp '},1
{'Etzy'},"{' ', 'Johnny Depp BR ', ' s MelodyStan Johnny Depp', 'Maf ', 'duda', ' Erika ', 'Tracey Brooks'}",7
{'I m Tony Snark Irony Man'},{'Persephone '},1
{'sunicamarkovic'},{'Jamile Araujo Martinski'},1
{'Em'},{'Mrs John Christopher Depp II'},1
{'Pablo Peixoto'},{' '},1
{'Monicaaaa'},{'Vaielena'},1
{'jessicalockhart'},{'Luna'},1
{' '},{'Teri Carson '},1
{'Jon Read'},{'FMGiveMeTruth '},1
{'OM NOM NOM NOM NOM NOM NOM NOM NOM NOM NOMINOUS'},"{'Gina', 'brooke', ' is off '}",3
{'Myri i am '},{'seedoftruth '},1
{'Erik Montoya Treanor'},{'FMGiveMeTruth '},1
{'J S As C '},"{'FMGiveMeTruth ', 'Jo'}",2
{' '},"{'Luxdarlz', 'Mariam', 'Cam', 'ResIpsaLoquitur', 'True Krdnchki', 'Serpens1984', 'Kaylee Manning', 'TerryEllahElsa', 'Violetta', 'Elon and TSLA are frauds', 'Lady Stardust ', ' is off ', 'Dr Jayne B Waldmingon PHD '}",13
{'Bill Schulz'},{'CARMEN'},1
{'Holly'},{'Stacey Skirving '},1
{'Dee '},{'Pomta '},1
{'Brianna Michelle Who sLaughingNow'},{'Juliana'},1
{' '},{'Kris '},1
{' Alexandra '},{'Ra l S JusticeForJohnnyDepp'},1
{'Jess Garcia '},"{'Agent Sweet Liquor ', 'JuneJules'}",2
{'Noelle Hannibal she her BLM '},{'amit chaudhary Daniel '},1
{'Nerdista'},{' Om Dr mm '},1
{'breecooley '},{'Dee'},1
{'JohnnyDeppReads'},{' V d JusticeForJohnnyDepp '},1
{'Alexia Hudson Ward'},{' '},1
{'Phil Gray'},{'Teri Carson '},1
{'Cherie'},"{'Teri Carson ', 'Fleeee', 'Alejandra ', 'LillyJane916'}",4
{'H95'},"{'Teri Carson ', 'AppeLello', 'Nor33 '}",3
{'sharon'},{'Teri Carson '},1
{'Rhomany'},{'Teri Carson '},1
{'Bryan Kelly'},{'Marianne Lloyd'},1
{'Robert Sharp '},{' Om Dr mm '},1
{'greeeneyedwhwom'},{' Martpunchispunchis'},1
{'Ivana Escalera'},"{'Guilherme Leirosa', 'The Phantom of the Opera', 'Madame Tease', 'Abolish All Schools Katy ', 'Horae of Peace'}",5
{'Toad Ya '},"{' is off ', 'Patcar'}",2
{'canteverdeal'},{'Courtney Lynn Murray'},1
{'Juniper Pearl'},{'leti as augustine from folklore '},1
{'Paqtasit Apsalqigwat '},{'Ghost'},1
{'Sarah Louise'},"{'sandra Luna', 'Ewinters Wald Mignon'}",2
{'Karin'},{' V d JusticeForJohnnyDepp '},1
{'Tami Croft'},"{' Angel Depp ', 'sandra Luna', 'Mary Bolden', 'John Waldman ', 'Lizzie Borden '}",5
{' '},{'Teri Carson '},1
{' '},{'Zuckerwaffe '},1
{'Liam'},"{'Teri Carson ', 'M julie'}",2
{'CLAUDIA'},"{'Liono Grinch', ' ', ' Daisy ', 'Arwen sparrow', 'Libby JusticeForJohnnyDepp', 'LillyJane916', 'Sweetest Sands ustice or ohnny epp ', 'SIGYN JusticeForJohnnyDepp', 'Mar a Alejandra', 'Ewinters Wald Mignon', 'The Right Side of the Roaring Rapids', 'DorkAngel GBW', 'Princess Consuela Bananahammock', 'Carola', ' V d JusticeForJohnnyDepp ', 'DeppHeads United JusticeForJohnnyDepp', 'Linda Lou ', 'PrettyhateMachine'}",18
{'Jacke'},{'Linda Lou '},1
{'RickyJ'},"{'meh', 'Caitlin', ' is off '}",3
{'Firecloud'},{'Stephanie Brown'},1
{'Mara Moran'},{'Unkn wn N ne f N where '},1
{'Whitney'},{'Ghost'},1
{'Courtney Lynn Murray'},"{'Belinda ', 'JohnnyDeppDeservesBetter'}",2
{'David Brown'},{' '},1
{'RJHern'},"{'Stephanie Brown', 'Guilherme Leirosa'}",2
{'Jay'},{' PhD '},1
{'Author Claudette Melanson BidenHarris vaccinated'},{'Jay4prez'},1
{'Becca K'},{'Adorkable Ally'},1
{'Ginger'},{' V d JusticeForJohnnyDepp '},1
{'Carmel Parker'},{'B Red'},1
{' M LYGOOMB '},{'subtweetive streak'},1
{' Chispita '},"{'Fleeee', 'lenni Wald Mignon'}",2
{' Danielle '},{'Libby JusticeForJohnnyDepp'},1
{' Sugarplum Fairy '},{'Teri Carson '},1
{'Nerdy Nicole is Suspish of Everyone '},{'Teri Carson '},1
{'Stephanie'},{'B Red'},1
{'Miss Mox'},{'Jo'},1
{'Sarah Lou'},"{'Mya', 'Murmeltier ', 'Caitlin', 'A Relative ', 'Poppy ', 'Genevieve Olin '}",6
{'Emmanuel Garibay'},{'Victoria Breakwell Wald Mignon '},1
{'Lynae'},{'Stephen Seamus O Connor'},1
{'Mandee '},{'MELLY'},1
{'Athena'},{'Justyna'},1
